Name,Bugs,Vulnerabilities,Code Smells,Duplication,#LOC,,Vulnerability 1,Vulnerability 2,Vulnerability 3
nl.focuscura.beeldbelapp___4.28.0.apk,580,2,32333,18.7,91350,,Lower the visibility of this field (2),,
nl.rivm.lciapp___1.27.4.apk,614,2,12539,3.1,185714,,,,
nl.stichtingmelanoom.huidmonitor___1.1.4.apk,529,0,16883,6.8,109963,,,,
org.crf.minutis___2.0.3.apk,,,,,,missed,,,
org.madrid.CoronaMadrid___1.1.0.apk,1019,1,20274,6.8,254776,,Change this code to use a stronger protocol (1),,
org.pathcheck.guam.bt___1.0.5.apk,66,0,703,4.3,10190,,,,
org.who.infoapp___3.1.apk,655,0,14000,2.8,177901,,,,
pt.hospitaldaluz___2.73.apk,966,1,21026,4.6,268164,,Use secure mode and padding scheme (1),,
pt.min_saude.spms.mysns___1.5.0.apk,144,0,3976,0.9,32950,,,,
ru.altarix.mos.pgu___3.11.2.2.apk,1257,5,53387,4.6,292742,,Lower the visibility of this field (5),Change this code to use a stronger protocol (2),
ru.harmonicsoft.caloriecounter___5.33.apk,,,,,,missed,,,
ru.medzdrav.android.client___2.12.1.apk,,,,,,missed,,,
ru.mos.app___1.7.apk,1132,3,40181,2.2,278569,,Lower the visibility of this field (3),,
ru.mos.polls___2.22.1.apk,793,11,27302,7.7,111693,,Lower the visibility of this field (11),,
ru.mos.socmon___1.8.apk,2018,2,20458,3.8,153412,,Lower the visibility of this field (2),,
ru.pharmbook.drugs.lite___1.7.11.apk,994,1,31771,4.9,214338,,Change this code to use a stronger protocol (1),,
ru.pharmbook.drugs.lite___1.7.19.apk,,,,,,,,,
ru.watchmyph.analogilekarstv___2.4.3.apk,683,1,19484,5.3,132931,,Change this code to use a stronger protocol (1),,
uk.ac.dur.drex___2.0.1.apk,129,1,3356,0.9,31352,,Use secure mode and padding scheme (1),,
uk.ac.dur.drex___2.1.0.apk,127,1,3357,1,31282,,Use secure mode and padding scheme (1),,
uk.co.well.pharmacy___1.5594.apk,,,,,,missed,,,
uk.nhs.covid19.production___3.7.2 (85).apk,,,,,,missed,,,
us.visiomed.android.mytens___2.1.4.apk,646,7,17082,2.2,164868,,Lower the visibility of this field (6),,
,,,,,,,,,
,,,,,,,,,
,,,,,,25,,,
